result,reason,wave,score,turns,gold_left,tier,army,seed,shop_open,shop_buy,sell,convert,item_use,artefact_activate,army_ability,merge,deploy,buff_apply,capture,piece_lost
LOSS,Resource starvation,19,6640,409,148,Tier 2,Old Guard,3,0,32,0,35,11,0,19,2,59,37,38,68
LOSS,Back-row breach,18,2900,263,0,Tier 2,Syndicate,1,0,9,3,7,0,0,4,0,24,0,15,31
LOSS,Back-row breach,30,5600,402,0,Tier 2,Syndicate,2,0,15,6,9,1,0,5,1,35,0,23,42
LOSS,Back-row breach,18,700,213,0,Tier 2,Syndicate,3,0,3,0,2,0,0,3,0,12,0,5,19
LOSS,Back-row breach,26,22900,445,0,Tier 2,Cult,1,0,34,8,12,8,0,18,2,48,19,28,57
LOSS,Back-row breach,19,5000,321,0,Tier 2,Cult,2,0,11,0,18,1,1,15,0,32,33,27,42
LOSS,Resource starvation,9,200,127,0,Tier 2,Cult,3,0,2,0,1,1,0,7,0,3,10,2,13
LOSS,Back-row breach,28,3900,481,0,Tier 2,Horde,1,0,19,7,10,3,0,25,1,85,0,23,98
LOSS,Back-row breach,27,4000,467,0,Tier 2,Horde,2,0,18,8,11,3,0,24,2,82,0,26,96
LOSS,Back-row breach,18,2400,305,0,Tier 2,Horde,3,0,9,0,16,0,0,14,1,58,0,20,72
LOSS,Back-row breach,30,9300,518,0,Tier 3,Crown,1,0,25,20,21,7,0,11,4,60,0,49,70
LOSS,Back-row breach,26,3200,390,0,Tier 3,Crown,2,0,10,4,7,1,0,6,0,30,0,20,41
LOSS,Back-row breach,20,4000,297,0,Tier 3,Crown,3,0,9,3,11,1,0,3,0,26,0,22,37
LOSS,Back-row breach,42,7400,694,0,Tier 3,Wild Hunt,1,0,26,18,12,5,0,37,0,52,0,38,61
LOSS,Back-row breach,25,3900,384,0,Tier 3,Wild Hunt,2,0,13,3,10,2,0,17,0,30,0,21,41
LOSS,Back-row breach,42,9600,665,0,Tier 3,Wild Hunt,3,0,24,18,21,3,0,36,2,57,0,46,68
WIN,Wave-53 King checkmated,53,78500,1478,1416,Tier 3,Old Guard,1,0,196,0,148,66,0,53,64,297,109,202,265
WIN,Wave-51 King checkmated,51,74000,1523,3556,Tier 3,Old Guard,2,0,172,0,151,57,0,49,55,279,136,195,269
WIN,Wave-56 King checkmated,56,97200,1474,1935,Tier 3,Old Guard,3,0,221,2,145,72,0,54,69,325,131,215,288
LOSS,Back-row breach,16,3300,247,0,Tier 3,Syndicate,1,0,10,1,8,0,0,5,1,25,0,15,32
LOSS,Back-row breach,12,1500,167,0,Tier 3,Syndicate,2,0,4,0,2,0,0,3,0,13,0,6,19
LOSS,Back-row breach,26,3000,368,0,Tier 3,Syndicate,3,0,15,5,4,3,0,3,0,27,0,14,34
LOSS,Back-row breach,18,6540,303,0,Tier 3,Cult,1,0,15,2,13,6,0,14,1,29,15,20,37
LOSS,Back-row breach,29,8760,514,0,Tier 3,Cult,2,0,20,11,21,2,1,20,1,52,49,41,59
LOSS,Resource starvation,8,2400,130,0,Tier 3,Cult,3,0,5,0,8,1,0,6,1,11,14,9,22
WIN,Wave-51 King checkmated,51,94350,1232,1045,Tier 3,Horde,1,0,123,34,74,23,0,50,59,292,248,174,255
LOSS,Back-row breach,46,14800,906,0,Tier 3,Horde,2,0,43,21,33,10,0,40,12,161,0,66,174
LOSS,Back-row breach,50,14700,991,0,Tier 3,Horde,3,0,43,19,36,2,0,44,6,176,0,63,190
LOSS,Back-row breach,20,2600,277,0,Tier 4,Crown,1,0,7,0,10,2,0,3,0,23,0,17,30
LOSS,Back-row breach,29,9700,456,0,Tier 4,Crown,2,0,20,10,21,5,0,7,2,52,0,44,59
LOSS,Back-row breach,13,800,177,0,Tier 4,Crown,3,0,3,0,4,1,0,4,0,15,0,8,22
LOSS,Back-row breach,23,3300,347,0,Tier 4,Wild Hunt,1,0,15,5,7,4,0,19,1,27,0,19,33
LOSS,Back-row breach,10,1200,181,0,Tier 4,Wild Hunt,2,0,2,0,9,2,0,8,0,11,0,12,17
LOSS,Back-row breach,18,1600,253,0,Tier 4,Wild Hunt,3,0,6,1,5,2,0,16,0,15,0,11,21
CAP,Outlived the step cap,51,2889100,8001,243775,Tier 4,Old Guard,1,0,4392,0,40,333,720,51,1426,1501,147,47,1421
WIN,Wave-51 King checkmated,51,79600,1621,5207,Tier 4,Old Guard,2,0,148,0,159,23,0,47,49,286,104,194,264
LOSS,Resource starvation,32,13900,706,497,Tier 4,Old Guard,3,0,58,0,52,14,0,32,9,106,60,63,110
LOSS,Resource starvation,7,1200,93,0,Tier 4,Syndicate,1,0,1,0,3,0,0,4,0,8,0,4,12
LOSS,Resource starvation,9,900,109,0,Tier 4,Syndicate,2,0,1,0,3,0,0,3,0,7,0,4,11
LOSS,Resource starvation,10,1300,121,0,Tier 4,Syndicate,3,0,1,0,5,0,0,4,0,10,0,5,14
WIN,Wave-51 King checkmated,51,166800,1406,1040,Tier 4,Cult,1,0,248,29,68,58,0,49,67,299,159,172,265
LOSS,Back-row breach,25,3600,368,0,Tier 4,Cult,2,0,11,2,11,4,1,17,0,30,32,19,32
LOSS,Resource starvation,5,100,73,0,Tier 4,Cult,3,0,2,0,0,1,0,5,0,2,6,1,8
CAP,Outlived the step cap,51,40750,8001,0,Tier 4,Horde,1,0,83,37,43,13,0,50,28,237,0,111,241
LOSS,Back-row breach,50,20400,1001,0,Tier 4,Horde,2,0,48,21,44,7,0,46,11,191,0,79,198
LOSS,Resource starvation,30,11900,609,0,Tier 4,Horde,3,0,26,13,35,5,0,28,10,122,0,57,128
LOSS,Back-row breach,10,1200,92,0,Tier 5,Crown,1,0,2,0,7,1,0,1,0,10,0,9,17
LOSS,Resource starvation,6,700,53,0,Tier 5,Crown,2,0,0,0,4,1,0,1,0,5,0,4,12
LOSS,Back-row breach,8,600,71,0,Tier 5,Crown,3,0,2,0,4,1,0,1,0,7,0,6,14
LOSS,Resource starvation,9,400,83,0,Tier 5,Wild Hunt,1,0,1,0,3,2,0,6,0,4,0,4,10
LOSS,Resource starvation,9,100,76,0,Tier 5,Wild Hunt,2,0,0,0,1,2,0,8,0,1,0,1,7
LOSS,Resource starvation,8,500,72,0,Tier 5,Wild Hunt,3,0,2,0,2,2,0,7,0,4,0,3,10
LOSS,Resource starvation,9,600,82,50,Tier 5,Old Guard,1,0,6,0,5,1,0,7,0,11,18,6,16
LOSS,Resource starvation,8,800,82,10,Tier 5,Old Guard,2,0,7,0,6,2,0,6,0,11,18,6,16
LOSS,Resource starvation,9,800,91,50,Tier 5,Old Guard,3,0,8,0,6,2,0,9,0,14,13,6,19
LOSS,Resource starvation,6,1000,45,0,Tier 5,Syndicate,1,0,0,0,2,0,0,4,0,6,0,2,10
LOSS,Resource starvation,8,400,67,10,Tier 5,Syndicate,2,0,0,0,2,0,0,3,0,5,0,3,9
LOSS,Back-row breach,11,1100,87,0,Tier 5,Syndicate,3,0,2,0,1,0,0,4,0,9,0,3,12
LOSS,Back-row breach,9,800,80,0,Tier 5,Cult,1,0,3,0,4,2,0,7,0,9,8,8,16
LOSS,Resource starvation,8,1100,71,10,Tier 5,Cult,2,0,0,0,5,3,1,6,0,5,9,6,12
LOSS,Resource starvation,3,0,24,30,Tier 5,Cult,3,0,0,0,0,1,0,2,0,0,3,0,6
LOSS,Resource starvation,8,100,66,3,Tier 5,Horde,1,0,2,0,1,0,0,6,0,15,0,1,22
LOSS,Resource starvation,9,100,75,0,Tier 5,Horde,2,0,2,0,1,0,0,7,0,17,0,1,24
LOSS,Back-row breach,8,300,68,6,Tier 5,Horde,3,0,2,0,3,0,0,5,0,15,0,3,21
