result,reason,wave,score,turns,gold_left,tier,army,seed,shop_open,shop_buy,sell,convert,item_use,artefact_activate,army_ability,merge,deploy,buff_apply,capture,piece_lost
LOSS,Back-row breach,16,3400,266,0,Tier 3,Crown,1,0,9,0,10,1,0,5,0,28,0,22,39
LOSS,Back-row breach,29,3800,429,0,Tier 3,Crown,2,0,12,0,9,1,0,8,0,36,0,24,47
LOSS,Back-row breach,34,5800,573,0,Tier 3,Wild Hunt,1,0,21,0,11,3,0,30,0,43,0,30,54
LOSS,Back-row breach,27,4200,426,0,Tier 3,Wild Hunt,2,0,13,0,9,2,0,22,0,29,0,24,40
WIN,Wave-51 King checkmated,51,77300,1337,3611,Tier 3,Old Guard,1,0,120,0,168,39,0,51,34,265,101,197,237
LOSS,Resource starvation,44,43000,1055,2680,Tier 3,Old Guard,2,0,84,0,121,25,0,42,24,196,102,142,203
LOSS,Back-row breach,20,4200,293,0,Tier 3,Syndicate,1,0,12,0,9,0,0,4,1,27,0,20,34
LOSS,Back-row breach,12,1500,167,0,Tier 3,Syndicate,2,0,4,0,2,0,0,3,0,13,0,6,19
LOSS,Resource starvation,27,34860,543,69,Tier 3,Cult,1,0,49,0,40,17,0,23,15,85,26,56,92
LOSS,Back-row breach,24,6900,360,0,Tier 3,Cult,2,0,14,0,13,2,1,12,1,37,36,30,46
WIN,Wave-51 King checkmated,51,502300,1343,1040,Tier 3,Horde,1,0,195,0,44,38,0,48,113,342,2,153,326
LOSS,Back-row breach,48,12400,920,0,Tier 3,Horde,2,0,42,0,24,4,0,44,1,166,0,58,180
LOSS,Back-row breach,20,2600,277,0,Tier 4,Crown,1,0,7,0,10,2,0,3,0,23,0,17,30
LOSS,Back-row breach,21,6200,306,0,Tier 4,Crown,2,0,12,0,16,2,0,5,0,35,0,29,42
LOSS,Back-row breach,22,2500,299,0,Tier 4,Wild Hunt,1,0,10,0,3,4,0,19,0,19,0,15,25
LOSS,Back-row breach,10,1200,181,0,Tier 4,Wild Hunt,2,0,2,0,9,2,0,8,0,11,0,12,17
WIN,Wave-51 King checkmated,51,87560,1513,6543,Tier 4,Old Guard,1,0,126,0,165,34,0,50,42,266,121,194,240
WIN,Wave-52 King checkmated,52,80200,1285,6348,Tier 4,Old Guard,2,0,99,0,172,9,0,47,31,268,105,196,244
LOSS,Resource starvation,7,1200,93,0,Tier 4,Syndicate,1,0,1,0,3,0,0,4,0,8,0,4,12
LOSS,Resource starvation,9,900,109,0,Tier 4,Syndicate,2,0,1,0,3,0,0,3,0,7,0,4,11
LOSS,Resource starvation,46,115000,1102,56,Tier 4,Cult,1,0,137,0,79,35,0,42,41,228,142,138,223
LOSS,Back-row breach,26,4400,367,0,Tier 4,Cult,2,0,13,0,11,4,1,17,0,31,34,21,33
LOSS,Back-row breach,51,27500,1075,0,Tier 4,Horde,1,0,61,0,43,12,0,48,10,205,1,96,210
LOSS,Back-row breach,44,13000,799,0,Tier 4,Horde,2,0,36,0,26,7,0,39,7,149,0,60,155
LOSS,Back-row breach,10,1200,92,0,Tier 5,Crown,1,0,2,0,7,1,0,1,0,10,0,9,17
LOSS,Resource starvation,6,700,53,0,Tier 5,Crown,2,0,0,0,4,1,0,1,0,5,0,4,12
LOSS,Resource starvation,9,400,83,0,Tier 5,Wild Hunt,1,0,1,0,3,2,0,6,0,4,0,4,10
LOSS,Resource starvation,9,100,76,0,Tier 5,Wild Hunt,2,0,0,0,1,2,0,8,0,1,0,1,7
LOSS,Resource starvation,9,600,82,50,Tier 5,Old Guard,1,0,6,0,5,1,0,7,0,11,18,6,16
LOSS,Resource starvation,8,800,82,10,Tier 5,Old Guard,2,0,7,0,6,2,0,6,0,11,18,6,16
LOSS,Resource starvation,6,1000,45,0,Tier 5,Syndicate,1,0,0,0,2,0,0,4,0,6,0,2,10
LOSS,Resource starvation,8,400,67,10,Tier 5,Syndicate,2,0,0,0,2,0,0,3,0,5,0,3,9
LOSS,Back-row breach,9,800,80,0,Tier 5,Cult,1,0,3,0,4,2,0,7,0,9,8,8,16
LOSS,Resource starvation,8,1100,71,10,Tier 5,Cult,2,0,0,0,5,3,1,6,0,5,9,6,12
LOSS,Resource starvation,8,100,66,3,Tier 5,Horde,1,0,2,0,1,0,0,6,0,15,0,1,22
LOSS,Resource starvation,9,100,75,0,Tier 5,Horde,2,0,2,0,1,0,0,7,0,17,0,1,24
