result,reason,wave,score,turns,gold_left,tier,army,seed,shop_open,shop_buy,sell,convert,item_use,artefact_activate,army_ability,merge,deploy,buff_apply,capture,piece_lost
WIN,Wave-102 King checkmated,102,535100,2377,18940,Tier 3,Syndicate,2,0,606,0,117,186,0,91,302,601,906,321,480
WIN,Wave-131 King checkmated,131,285100,2787,1027,Tier 3,Syndicate,3,0,390,0,372,104,0,91,229,754,5,557,659
WIN,Wave-77 King checkmated,77,388500,1879,1240,Tier 3,Cult,1,0,417,0,149,123,0,74,188,473,86,319,410
LOSS,Resource starvation,102,222510,1867,0,Tier 3,Cult,2,0,246,0,146,64,1,91,191,450,432,392,392
WIN,Wave-101 King checkmated,101,626600,2781,20251,Tier 3,Cult,3,0,692,0,197,203,0,97,282,700,211,434,619
WIN,Wave-56 King checkmated,56,155730,1392,1053,Tier 3,Horde,1,0,161,0,137,50,0,53,126,337,42,216,312
CAP,Outlived the step cap,51,81000,8001,3,Tier 3,Horde,2,0,99,0,116,28,0,47,114,312,1,196,293
WIN,Wave-51 King checkmated,51,284700,1268,70757,Tier 3,Horde,3,0,274,0,73,79,0,50,161,345,44,185,304
WIN,FULL CLEAR — every King has fallen,150,407210,3532,2084,Tier 4,Crown,1,0,542,0,321,184,0,134,493,861,11,749,727
WIN,FULL CLEAR — every King has fallen,150,400900,3372,3877,Tier 4,Crown,2,0,543,0,148,159,0,135,619,846,810,749,630
WIN,FULL CLEAR — every King has fallen,150,504500,3429,1089,Tier 4,Crown,3,0,505,0,290,218,0,129,510,831,10,755,695
WIN,Wave-118 King checkmated,118,445730,2905,988,Tier 4,Wild Hunt,1,0,464,0,312,76,0,112,267,819,4,564,706
WIN,Wave-91 King checkmated,91,215500,2135,1047,Tier 4,Wild Hunt,2,0,275,0,232,70,0,89,161,488,2,410,446
LOSS,Resource starvation,12,3200,245,0,Tier 4,Wild Hunt,3,0,8,0,17,4,0,12,5,27,0,20,28
WIN,FULL CLEAR — every King has fallen,150,362200,3389,39970,Tier 4,Old Guard,1,0,429,0,582,66,0,142,226,960,132,765,802
WIN,Wave-96 King checkmated,96,318170,2203,6422,Tier 4,Old Guard,2,0,365,0,306,112,0,90,157,581,185,435,465
WIN,FULL CLEAR — every King has fallen,150,493400,3783,25833,Tier 4,Old Guard,3,0,611,0,529,179,0,147,263,990,243,751,837
WIN,FULL CLEAR — every King has fallen,150,305650,3131,9526,Tier 4,Syndicate,1,0,471,0,416,138,0,124,281,848,80,614,732
WIN,Wave-71 King checkmated,71,165810,1431,950,Tier 4,Syndicate,2,0,216,0,150,54,0,39,130,360,0,256,303
LOSS,Resource starvation,101,240890,1949,0,Tier 4,Syndicate,3,0,323,0,215,90,0,55,198,522,87,389,471
CAP,Outlived the step cap,150,802700,8001,0,Tier 4,Cult,1,0,785,0,322,209,0,146,380,1021,159,729,903
LOSS,Resource starvation,123,312700,2159,3935,Tier 4,Cult,2,0,283,0,307,98,1,108,125,527,425,397,436
WIN,Wave-134 King checkmated,134,331650,3141,1000,Tier 4,Cult,3,0,417,0,405,161,0,129,238,778,269,642,653
LOSS,Resource starvation,34,34900,713,0,Tier 4,Horde,1,0,52,0,56,9,0,33,64,167,0,109,165
WIN,Wave-61 King checkmated,61,122100,1341,1133,Tier 4,Horde,2,0,155,0,150,38,0,55,132,374,266,247,296
WIN,Wave-86 King checkmated,86,227860,2042,1050,Tier 4,Horde,3,0,267,0,222,78,0,81,228,551,3,387,492
LOSS,Resource starvation,8,1800,75,0,Tier 5,Crown,1,0,7,0,7,1,0,3,2,19,0,12,26
LOSS,Resource starvation,11,3200,109,0,Tier 5,Crown,2,0,12,0,10,3,0,4,1,27,0,14,33
LOSS,Back-row breach,9,1300,86,0,Tier 5,Crown,3,0,6,0,6,1,0,1,1,14,0,9,20
LOSS,Resource starvation,9,1600,97,0,Tier 5,Wild Hunt,1,0,7,0,7,2,0,9,2,14,0,10,19
LOSS,Resource starvation,7,1200,71,0,Tier 5,Wild Hunt,2,0,7,0,2,2,0,6,2,9,0,6,15
LOSS,Resource starvation,12,3900,146,0,Tier 5,Wild Hunt,3,0,13,0,14,3,0,11,6,32,0,21,38
LOSS,Resource starvation,14,10000,162,115,Tier 5,Old Guard,1,0,26,0,20,4,0,10,0,47,28,20,49
LOSS,Resource starvation,12,5180,145,31,Tier 5,Old Guard,2,0,26,0,15,3,0,11,1,41,24,17,46
LOSS,Resource starvation,13,9520,154,37,Tier 5,Old Guard,3,0,25,0,21,6,0,9,0,46,29,21,49
LOSS,Resource starvation,11,2000,112,0,Tier 5,Syndicate,1,0,12,0,7,0,0,1,1,26,0,10,29
LOSS,Resource starvation,8,1700,75,0,Tier 5,Syndicate,2,0,8,0,4,1,0,2,1,14,0,7,18
LOSS,Resource starvation,13,4800,138,0,Tier 5,Syndicate,3,0,19,0,14,2,0,3,3,41,0,20,44
LOSS,Back-row breach,10,4400,102,0,Tier 5,Cult,1,0,13,0,5,2,0,10,1,17,11,8,22
LOSS,Resource starvation,9,1900,83,0,Tier 5,Cult,2,0,8,0,7,2,1,8,2,16,19,11,19
LOSS,Resource starvation,20,11300,234,0,Tier 5,Cult,3,0,26,0,30,3,0,16,8,69,35,46,74
LOSS,Resource starvation,9,1200,86,0,Tier 5,Horde,1,0,7,0,4,0,0,8,1,28,0,7,35
LOSS,Back-row breach,9,500,78,10,Tier 5,Horde,2,0,3,0,4,0,0,7,0,21,0,5,27
LOSS,Back-row breach,8,800,74,0,Tier 5,Horde,3,0,5,0,4,0,0,4,0,17,0,4,23
